,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Kaseda,20,JP,1581151295,52,31.42,130.32,46.4,13.87
374,Bakchar,100,RU,1581151297,97,57.02,82.07,32.14,12.03
375,San Andres,20,CO,1581151154,78,12.58,-81.7,80.6,12.75
376,Laas,5,IT,1581151299,85,46.62,10.7,39.99,4.7
377,Kidal,0,ML,1581151300,17,18.44,1.41,71.1,20.42
378,Whitehorse,90,CA,1581151302,84,60.72,-135.05,8.6,3.36
379,Kieta,93,PG,1581151303,76,-6.22,155.63,82.67,7.61
380,Narsaq,91,GL,1581151304,52,60.92,-46.05,17.6,3.36
381,Puerto Escondido,56,MX,1581151306,89,15.85,-97.07,69.28,2.8
382,Lisakovsk,98,KZ,1581151264,93,52.54,62.49,21.06,10.25
383,Coyhaique,84,CL,1581151308,93,-45.58,-72.07,41.0,2.24
384,Suining,100,CN,1581151310,42,30.51,105.57,59.88,6.13
385,Port Hardy,75,CA,1581151311,93,50.7,-127.42,39.2,13.87
386,Nalut,84,LY,1581151312,38,30.33,10.85,51.12,9.17
387,Sola,100,VU,1581151314,82,-13.88,167.55,83.17,23.85
388,Coquimbo,75,CL,1581151315,93,-29.95,-71.34,57.2,2.24
389,Marsh Harbour,100,BS,1581151316,64,26.54,-77.06,71.4,11.88
390,Coachella,1,US,1581151318,70,33.68,-116.17,53.6,4.7
391,Dinguiraye,0,GN,1581151319,13,11.3,-10.72,74.48,2.39
392,Markapur,35,IN,1581151320,38,15.73,79.28,87.33,11.86
393,Dubuque,90,US,1581151322,92,42.48,-90.87,24.8,8.05
394,Chuncheng,48,CN,1581151323,64,22.17,111.79,66.99,10.2
395,Mogadishu,40,SO,1581151051,65,2.04,45.34,82.4,18.34
396,Ahipara,100,NZ,1581151326,93,-35.17,173.17,68.0,14.65
397,Guane,100,CU,1581151327,86,22.2,-84.09,71.65,13.73
398,El Dorado,1,US,1581151104,100,33.21,-92.67,37.4,6.93
399,Yangi Marg`ilon,93,UZ,1581151330,32,40.43,71.72,53.6,2.24
400,The Valley,20,AI,1581151331,73,18.22,-63.06,77.0,16.11
401,Novo Aripuana,100,BR,1581151332,94,-5.12,-60.38,71.51,2.19
402,Henties Bay,27,NA,1581151333,83,-22.12,14.28,66.0,4.0
403,Tilichiki,0,RU,1581151335,89,60.47,166.1,-30.46,9.75
404,Westport,1,US,1581151266,54,41.14,-73.36,32.0,12.75
405,Oistins,20,BB,1581151338,73,13.07,-59.53,77.0,17.22
406,Taikang,15,CN,1581151339,93,46.83,124.42,3.11,9.42
407,Tuatapere,89,NZ,1581151340,70,-46.13,167.68,51.01,15.01
408,Khanpur,0,PK,1581151342,14,28.65,70.66,75.99,5.55
409,Cockburn Town,36,TC,1581151212,81,21.46,-71.14,78.98,18.95
410,Tukrah,99,LY,1581151345,59,32.53,20.58,55.69,10.31
411,Mendeleyevo,20,RU,1581151346,78,56.03,37.22,14.0,4.47
412,Mina,5,MX,1581151347,76,26.0,-100.53,60.01,3.38
413,Nianzishan,30,CN,1581151348,89,47.52,122.88,3.45,6.82
414,Longyearbyen,75,SJ,1581151350,85,78.22,15.64,23.0,11.41
415,Mweka,100,CD,1581151351,79,-4.85,21.57,77.86,4.25
416,Bayan,13,CN,1581151352,93,46.08,127.4,-2.15,4.83
417,San Bartolome de Tirajana,40,ES,1581151354,68,27.92,-15.57,64.4,18.34
418,Fatwa,20,IN,1581151355,27,25.52,85.32,73.4,8.05
419,Kargat,100,RU,1581151356,86,55.2,80.28,34.52,23.78
420,Perth,20,AU,1581151349,57,-31.93,115.83,82.4,17.22
421,Batticaloa,67,LK,1581151359,53,7.71,81.69,83.98,8.7
422,Fare,100,PF,1581151360,82,-16.7,-151.02,82.29,21.65
423,San Angelo,1,US,1581151362,74,31.46,-100.44,37.99,5.82
424,Bara,32,NG,1581151363,13,10.37,10.73,81.75,13.76
425,Vostok,100,RU,1581151364,99,46.49,135.88,-8.27,3.91
426,Cabo San Lucas,73,MX,1581151069,81,22.89,-109.91,60.01,2.82
427,Trelew,1,AR,1581151304,97,-43.25,-65.31,46.83,1.92
428,Hartselle,75,US,1581151368,74,34.44,-86.94,37.99,5.82
429,Keetmanshoop,0,NA,1581151369,22,-26.58,18.13,77.0,6.93
430,Ferrol,40,ES,1581151371,100,43.48,-8.24,52.0,4.7
431,Bouca,6,CF,1581151372,12,6.51,18.27,94.5,9.35
432,Roebourne,100,AU,1581151373,90,-20.78,117.13,76.95,75.36
433,Sistranda,100,NO,1581151375,70,63.73,8.83,43.0,23.04
434,La Rioja,90,ES,1581151376,100,42.25,-2.5,39.2,1.12
435,Oranjemund,4,NA,1581151377,60,-28.55,16.43,71.11,8.86
436,Esim,67,GH,1581151379,68,4.87,-2.24,84.43,4.83
437,Frederico Westphalen,99,BR,1581151380,96,-27.36,-53.39,70.0,5.03
438,Minsk,75,BY,1581151231,92,53.9,27.57,26.6,8.95
439,Lerici,40,IT,1581151382,100,44.08,9.91,48.99,8.05
440,Ust-Kuyga,0,RU,1581151384,90,70.02,135.6,-32.76,7.9
441,Acapulco de Juarez,75,MX,1581151385,73,16.86,-99.89,73.4,3.04
442,Ekenaes,10,FI,1581151386,99,59.97,23.43,32.0,6.69
443,Ust'-Kalmanka,100,RU,1581151388,67,52.12,83.31,40.64,18.12
444,Nemuro,20,JP,1581151389,61,43.32,145.57,14.0,6.93
445,Borken,100,DE,1581151390,75,51.85,6.87,45.0,10.29
446,Chadiza,100,ZM,1581151392,87,-14.07,32.44,71.15,6.8
447,Waingapu,93,ID,1581151393,77,-9.66,120.26,84.36,18.81
448,Maloyaroslavets,0,RU,1581151395,78,55.01,36.47,12.2,2.24
449,Tiznit,0,MA,1581151396,59,29.58,-9.5,57.25,1.79
450,Buenos Aires,75,AR,1581151107,88,-34.61,-58.38,71.6,9.17
451,Nau,16,TJ,1581151399,25,40.15,69.37,53.6,26.84
452,Oddur,96,SO,1581151400,29,4.12,43.89,88.34,22.26
453,Yulara,19,AU,1581151402,8,-25.24,130.99,104.0,12.75
454,Terrasini,0,IT,1581151403,41,38.15,13.08,50.0,2.24
455,Alihe,100,CN,1581151405,87,50.57,123.72,6.08,3.87
456,Berlevag,100,NO,1581151406,93,70.86,29.09,40.17,23.78
457,Jacareacanga,100,BR,1581151407,99,-6.22,-57.75,70.75,2.46
458,Boende,23,CD,1581151409,45,-0.22,20.87,93.78,0.81
459,Laguna,1,US,1581151410,81,38.42,-121.42,48.99,5.5
460,Aseri,100,EE,1581151411,91,59.45,26.87,34.12,5.19
461,Dangara,0,IN,1581151413,36,29.68,75.89,68.34,6.93
462,Parakan,80,ID,1581151414,91,-6.42,106.01,78.6,2.95
463,Ambon,20,ID,1581151415,55,-3.7,128.18,91.4,11.41
464,Bandarbeyla,20,SO,1581151417,73,9.49,50.81,75.97,15.03
465,Shenjiamen,100,CN,1581151418,71,29.96,122.3,46.29,18.9
466,Manado,75,ID,1581151419,83,1.49,124.85,82.4,8.05
467,Carutapera,100,BR,1581151421,85,-1.2,-46.02,78.62,15.52
468,Abu Samrah,31,SY,1581151422,52,35.3,37.18,49.37,31.45
469,Nioro,0,GM,1581151423,9,13.35,-15.75,76.66,13.91
470,Leshukonskoye,97,RU,1581151425,95,64.9,45.76,10.11,1.88
471,Sao Miguel do Araguaia,100,BR,1581151426,98,-13.28,-50.16,69.67,5.44
472,Antofagasta,20,CL,1581151427,82,-23.65,-70.4,64.4,4.7
473,Devrek,100,TR,1581151429,88,41.22,31.96,21.49,10.6
474,Tikrit,0,IQ,1581151430,44,34.61,43.68,59.23,19.95
475,Filingue,3,NE,1581151431,17,14.35,3.32,75.47,18.9
476,Siniscola,69,IT,1581151433,38,40.57,9.69,48.25,2.89
477,Preston,9,GB,1581151313,81,53.77,-2.72,44.01,16.11
478,Assiut,0,EG,1581151435,35,27.18,31.18,46.4,12.75
479,Bud,90,US,1581151436,86,39.45,-86.18,30.99,8.05
480,Hays,1,US,1581151438,60,30.05,-98.03,51.01,5.82
481,Chernyshevskiy,99,RU,1581151439,92,63.01,112.47,16.09,9.48
482,Pemangkat,99,ID,1581151440,81,1.17,108.97,82.08,9.98
483,Kochkurovo,70,RU,1581151442,92,54.04,45.42,4.19,10.07
484,Olafsvik,4,IS,1581151443,79,64.89,-23.71,35.67,28.86
485,Yongchang,93,CN,1581151444,70,30.04,119.73,46.0,3.0
486,Pangai,66,TO,1581151446,78,-19.8,-174.35,81.3,22.08
487,Emerald,40,AU,1581151447,52,-23.53,148.17,89.6,4.7
488,San Felipe,80,VE,1581151448,95,10.34,-68.74,70.12,2.73
489,Myslenice,0,PL,1581151450,79,49.83,19.94,33.01,2.24
490,Baykit,99,RU,1581151451,95,61.67,96.37,8.51,3.22
491,Port Moresby,40,PG,1581151363,83,-9.44,147.18,80.6,11.41
492,Salinopolis,100,BR,1581151454,87,-0.61,-47.36,78.37,13.91
493,Flinders,90,AU,1581151455,100,-34.58,150.86,71.01,18.34
494,Trairi,87,BR,1581151456,97,-3.28,-39.27,72.52,2.89
495,Mega,82,ET,1581151457,26,4.05,38.3,81.05,19.71
496,Sinjai,100,ID,1581151459,70,-5.12,120.25,83.03,1.77
497,'Ahuimanu,75,US,1581151460,100,21.44,-157.84,66.2,5.82
498,Mahajanga,20,MG,1581151461,59,-15.72,46.32,89.6,5.82
499,Lixouri,20,GR,1581151463,57,38.2,20.43,51.8,5.82
500,Troitsko-Pechorsk,9,RU,1581151464,92,62.71,56.2,0.52,3.38
501,Zolotkovo,0,RU,1581151465,87,55.53,41.11,9.54,4.47
502,Xining,100,CN,1581151467,35,36.62,101.77,32.09,1.39
503,Tataouine,30,TN,1581151468,36,32.93,10.45,48.2,4.7
504,Maniitsoq,100,GL,1581151469,78,65.42,-52.9,10.38,13.49
505,Rawson,29,AR,1581151471,80,-43.3,-65.1,58.69,1.66
506,Tazovsky,100,RU,1581151472,95,67.47,78.7,-5.46,10.89
507,Taltal,8,CL,1581151473,91,-25.4,-70.48,55.69,0.49
508,Greytown,79,ZA,1581151474,61,-29.06,30.59,77.47,4.21
509,Kyra,69,RU,1581151476,86,49.58,111.98,11.01,4.16
510,Pingzhuang,0,CN,1581151477,72,42.04,119.29,18.03,5.12
511,Muriwai Beach,100,NZ,1581151478,68,-36.82,174.45,64.4,17.22
512,Kirensk,100,RU,1581151480,92,57.79,108.11,17.76,4.56
513,Villa Carlos Paz,40,AR,1581151481,94,-31.42,-64.5,70.0,4.7
514,Rome,1,US,1581151353,84,43.21,-75.46,19.0,5.82
515,Baiyin,100,CN,1581151484,18,36.56,104.21,39.2,4.47
516,Taoudenni,100,ML,1581151485,10,22.68,-3.98,65.86,12.37
517,Radzyn Podlaski,5,PL,1581151486,79,51.78,22.62,32.0,8.05
518,Kremenchuk,97,UA,1581151488,70,49.1,33.42,21.65,11.3
519,Yar-Sale,41,RU,1581151489,82,66.83,70.83,-8.34,6.76
520,Annau,0,TM,1581151490,16,37.89,58.52,77.0,4.7
521,Taraz,3,KZ,1581151491,8,42.9,71.37,68.0,4.47
522,Cooma,100,AU,1581151493,87,-36.23,149.13,60.8,13.87
523,Narasannapeta,86,IN,1581151494,66,18.42,84.05,79.36,10.96
524,Margate,75,GB,1581151495,93,51.38,1.39,48.99,6.93
525,Qasigiannguit,100,GL,1581151497,65,68.82,-51.19,8.6,5.82
526,Meadow Lake,1,US,1581151498,64,34.8,-106.54,41.0,3.36
527,Rio Gallegos,0,AR,1581151499,81,-51.62,-69.22,46.4,2.24
528,Urumqi,56,CN,1581151501,73,43.8,87.6,23.0,4.47
529,San Patricio,79,MX,1581151502,75,19.22,-104.7,74.75,8.68
530,Tocopilla,7,CL,1581151503,51,-22.09,-70.2,56.01,3.65
531,San Lorenzo,0,PY,1581151504,100,-25.33,-57.53,75.2,3.36
532,Garmsar,0,IR,1581151506,27,35.22,52.34,66.38,8.57
533,Port-Gentil,90,GA,1581151507,83,-0.72,8.78,84.2,11.41
534,Achutupo,91,PA,1581151508,93,9.2,-77.98,73.31,4.41
535,Santa Helena,100,BR,1581151510,97,-2.23,-45.3,73.22,3.18
536,Krasne,96,UA,1581151511,92,49.91,24.61,21.2,4.47
537,Cabinda,75,AO,1581151512,88,-5.55,12.2,78.8,8.05
538,Mahanje,76,TZ,1581151514,73,-9.93,35.33,77.43,7.31
539,Williston,90,US,1581151515,100,48.15,-103.62,26.01,2.68
540,Upington,0,ZA,1581151516,45,-28.45,21.26,84.2,6.93
541,Tautira,75,PF,1581151518,69,-17.73,-149.15,80.6,3.36
542,Peruibe,36,BR,1581151287,85,-24.32,-47.0,78.08,10.27
543,Nar'yan-Mar,19,RU,1581151520,96,67.67,53.09,1.04,5.17
544,Bad Doberan,20,DE,1581151521,80,54.11,11.9,39.99,6.93
545,Kloulklubed,75,PW,1581151523,70,7.04,134.26,84.2,8.05
546,La Victoria,0,VE,1581151524,73,10.22,-67.33,75.2,8.05
547,Rybachiy,40,RU,1581151525,72,48.71,44.74,14.0,13.42
548,Bereket,0,TM,1581151527,21,39.24,55.52,69.13,7.58
549,Russell,90,US,1581151528,76,32.35,-85.2,35.6,2.82
550,Liwale,97,TZ,1581151529,79,-9.77,37.93,77.2,6.44
551,Ouango,96,CF,1581151531,34,4.31,22.56,80.15,2.01
552,Kondol,100,RU,1581151532,91,52.82,45.06,10.06,11.7
553,Gouloure,0,BF,1581151534,21,12.23,-1.93,71.6,6.93
554,Penzance,24,GB,1581151535,75,50.12,-5.54,48.2,16.11
555,Kandi,10,BJ,1581151536,10,11.13,2.94,79.93,9.71
